domain_id,Domain,Task
110,Earth science,"Entity embedding,Crop Mapping / Segmentation"
111,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning,Chat,Instruction interpretation,Retrieval-augmented generation"
112,Language,"Financial management,Language modeling/generation,Question answering"
113,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation"
114,Language,Mathematical reasoning
115,Language,"Language modeling/generation,Question answering,Code generation,System control"
116,Language,"Language modeling/generation,Question answering,Quantitative reasoning,System control,Table tasks,Code generation,Instruction interpretation,Translation,Search"
117,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Translation"
118,Speech,"Audio question answering,Speech recognition (ASR),Speech-to-text,Language modeling/generation,Question answering"
119,Language,"Language modeling/generation,Code generation,Question answering,Quantitative reasoning,Search,Table tasks"
120,Language,"Language modeling/generation,Question answering,Search,Visual question answering,Character recognition (OCR),Image captioning,Quantitative reasoning"
121,Vision,"Cancer diagnosis,Image classification,Medical diagnosis"
122,Vision,"Image embedding,Image segmentation,Image classification"
123,Multimodal,"Language modeling/generation,Visual question answering,Video description,Speech recognition (ASR),Quantitative reasoning,Code generation,Translation,Question answering,Character recognition (OCR)"
124,Language,"Language modeling/generation,Quantitative reasoning,Code generation,Translation,Question answering"
125,Multimodal,"Object detection,Object recognition,Speech recognition (ASR),Video description,Search,Audio classification,Face detection,Language modeling/generation,Question answering"
126,Biology,"Gene expression enhancement,Gene expression profile generation,Molecular property prediction,Mutation prediction,Protein-DNA binding prediction,Transcriptomic prediction,RNA structure prediction"
127,Multimodal,"Language modeling/generation,Object recognition,Mathematical reasoning"
128,Video,"Video generation,Text-to-video,Image-to-video"
129,Multimodal,"Image captioning,Video description"
130,Language,"Language modeling/generation,Question answering,Translation,Text classification,Quantitative reasoning,Search,Code generation,Visual question answering,Video description,Speech recognition (ASR),Character recognition (OCR),System control"
131,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation,Visual question answering,Character recognition (OCR)"
132,Earth science,Weather forecasting
133,Vision,Robotic manipulation
134,Image generation,"Text-to-image,Image generation"
135,Video,"Robotic manipulation,System control,Video generation"
136,Multimodal,"Language modeling/generation,Vision-language generation"
137,Multimodal,"Language modeling/generation,Image captioning,Video generation"
138,Vision,Visual question answering
139,Language,"Code generation,Language modeling/generation,Instruction interpretation,System control"
140,Language,"Language modeling/generation,Code generation,Translation"
141,Robotics,"Robotic manipulation,Animal (human/non-human) imitation"
142,Biology,"Protein interaction prediction,Protein-ligand binding affinity prediction"
143,Materials science,"Language modeling/generation,Molecular property prediction"
144,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR)"
145,Vision,"Character recognition (OCR),Image captioning,Language modeling/generation,Question answering,Visual question answering,Video,Video description"
146,Speech,"Speech-to-speech,Audio question answering,Text-to-speech (TTS),Speech synthesis"
147,Image generation,"Image generation,Text-to-image,Image captioning"
148,Speech,"Speech-to-text,Speech recognition (ASR),Speech synthesis,Text-to-speech (TTS),Retrieval-augmented generation,Audio question answering,Speech-to-speech"
149,Language,"Code generation,Language modeling/generation"
150,Language,"Code generation,Code autocompletion,Retrieval-augmented generation"
151,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Mathematical reasoning,Code generation"
152,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering"
153,Language,Unknown
154,Multimodal,"Speech-to-text,Speech recognition (ASR),Image captioning,Visual question answering,Language modeling/generation,Question answering,Text-to-speech (TTS),Speech synthesis"
155,Language,"Language modeling/generation,Question answering,System control,Code generation,Instruction interpretation,Search,Quantitative reasoning,Visual question answering,Character recognition (OCR)"
156,Language,Language modeling
157,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Retrieval-augmented generation"
158,Video,"Video generation,Image-to-video,Text-to-video"
159,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Retrieval-augmented generation"
160,Medicine,"Question answering,Language modeling/generation,Medical diagnosis,Visual question answering,Image classification"
161,Language,"Language modeling/generation,Question answering,Chat,Speech recognition (ASR),Translation,Speech-to-text,Visual question answering,Mathematical reasoning,Code generation,Character recognition (OCR)"
162,Language,"Language modeling/generation,Question answering,Retrieval-augmented generation,Entity embedding"
163,Multimodal,"Language modeling/generation,Visual question answering,Video description,Question answering,Instruction interpretation,Robotic manipulation"
164,Biology,"Cell Biology,RNA structure prediction,Protein-RNA binding affinity prediction"
165,Language,"Language modeling/generation,Question answering,Medical diagnosis"
166,Video,Unknown
167,Mathematics,"Code generation,Mathematical reasoning,Language modeling/generation,Question answering"
168,Vision,"Visual question answering,Video description,Language modeling/generation,Question answering,Character recognition (OCR)"
169,Earth science,"Image generation,Weather forecasting"
170,Language,"Language modeling/generation,Question answering,System control"
171,Language,"Language modeling/generation,Question answering,System control,Retrieval-augmented generation,Visual question answering,Speech recognition (ASR)"
172,Multimodal,"Language modeling/generation,Visual question answering,Question answering,Quantitative reasoning,Code generation,Translation"
173,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Chat"
174,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Mathematical reasoning,Code generation"
175,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Mathematical reasoning"
176,Biology,Unknown
177,Multimodal,"Language modeling/generation,Visual question answering,Video description,Question answering,Code generation,Character recognition (OCR),System control,Instruction interpretation,Retrieval-augmented generation"
178,Language,"Language modeling/generation,Question answering,Retrieval-augmented generation,Quantitative reasoning,Code generation,Translation,Character recognition (OCR)"
179,Language,"Retrieval-augmented generation,Language modeling/generation,Question answering,Search,Text summarization,Translation"
180,Language,"Language modeling/generation,Language generation"
181,Vision,Unknown
182,Language,"Language modeling/generation,Question answering,Translation,Chat,Quantitative reasoning,Visual question answering,Code generation"
183,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Speech recognition (ASR),Video description,Search,Text summarization,Chat"
184,Language,"Language modeling/generation,Text classification,Question answering,Entity embedding"
185,Multimodal,"Language modeling/generation,Search,Question answering,Quantitative reasoning,Chat,Translation,Code generation,Visual question answering,Instruction interpretation,Visual puzzles"
186,Language,Entity embedding
187,Speech,"Speech recognition (ASR),Speech-to-text"
188,Video,"Video generation,Image-to-video,Video-to-video,Text-to-video"
189,Earth science,"Image captioning,Flood Mapping,Crop Mapping / Segmentation,Wildfire Mapping,Cloud monitoring / analysis"
190,Language,"Semantic embedding,Retrieval-augmented generation,Image embedding"
191,Multimodal,"Language modeling/generation,Code generation,Question answering,Quantitative reasoning,Instruction interpretation,System control,Visual question answering,Video description"
192,Language,"Language modeling/generation,Question answering,Translation,Quantitative reasoning,Code generation"
193,Language,"Language modeling/generation,Question answering,Translation,Quantitative reasoning,Code generation,Neural Architecture Search - NAS"
194,Audio,"Audio generation,Speech recognition (ASR),Audio classification"
195,Language,"Language modeling/generation,Question answering,Code generation,Search"
196,Multimodal,"Language modeling/generation,Quantitative reasoning,Question answering,Visual question answering,Video description,Character recognition (OCR),Code generation,Chat"
197,Video,"Video generation,Text-to-video,Image-to-video,Audio generation"
198,Medicine,"Medical diagnosis,Language modeling/generation,Question answering,Chat"
199,3D modeling,Aerodynamics simulations
200,Language,"Protein or nucleotide language model (pLM/nLM),Protein property prediction,Small molecule property prediction,Chat,Question answering,Protein question answering,Protein function prediction,Language modeling/generation"
201,Language,"Protein or nucleotide language model (pLM/nLM),Protein property prediction,Small molecule property prediction,Question answering,Protein question answering,Protein function prediction,Language modeling/generation"
202,Speech,"Speech-to-text,Speech recognition (ASR),Speech synthesis,Speech-to-speech,Audio question answering"
203,Language,"Semantic embedding,Language modeling/generation,Question answering"
204,Multimodal,"Chat,Code generation,Visual question answering,Language modeling/generation,Question answering"
205,Multimodal,"Chat,Code generation,Visual question answering,Translation,Language modeling/generation,Quantitative reasoning,Question answering"
206,3D modeling,3D reconstruction
207,Vision,Image generation
208,Other,"System control,Instruction interpretation"
209,Language,"Visual question answering,Video description,Language modeling/generation,Translation,Question answering,Character recognition (OCR),Quantitative reasoning"
210,Language,Data analytics
211,Vision,Image-to-image
212,Multimodal,"Chat,Image generation,Audio generation,Vision-language generation,Table tasks,Language modeling/generation,Question answering,Speech recognition (ASR),Speech-to-text"
213,Video,"Self-driving car,Video generation,Instruction interpretation"
214,Multimodal,"Language modeling/generation,Question answering,Visual question answering,Speech synthesis,Speech recognition (ASR),Speech-to-speech,Audio question answering,Speech-to-text,Text-to-speech (TTS),Video description,Image captioning"
215,Language,"Question answering,Chat,Language modeling/generation,Quantitative reasoning,Search"
216,Vision,3D reconstruction
217,Video,"Video editing,Video-to-video,3D segmentation"
218,Biology,3D chromosome structures reconstruction
219,Language,"Text summarization,Semantic search"
220,Language,"Code generation,Language modeling/generation,Quantitative reasoning,Chat,Question answering,Translation,Mathematical reasoning"
221,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Neural Architecture Search - NAS"
222,Speech,"Speech recognition (ASR),Speech-to-text,Translation"
223,Language,"Code generation,Mathematical reasoning,Chat"
224,Language,"Language modeling/generation,Question answering,Translation"
225,Language,"Language modeling/generation,Chat,Code generation,Question answering"
226,Language,"Language modeling/generation,Question answering,Chat,Code generation,Mathematical reasoning"
227,Language,"Language modeling/generation,Question answering,Translation,Chat,Quantitative reasoning,Code generation,Mathematical reasoning"
228,Robotics,"Instruction interpretation,Robotic manipulation,Speech recognition (ASR),Object recognition,Object detection"
229,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Code generation,Text summarization"
230,Speech,"Music generation,Text-to-speech (TTS)"
231,Multimodal,"Chat,Code generation,Language modeling/generation,Quantitative reasoning,Question answering,Character recognition (OCR),Visual question answering,Video description,Speech recognition (ASR)"
232,Multimodal,"Character recognition (OCR),Chat,Language generation"
233,Language,"Language modeling/generation,Question answering,Code generation,Retrieval-augmented generation,Chat,Quantitative reasoning,Table tasks,Translation"
234,Language,"Language modeling/generation,Visual question answering,Code generation,Quantitative reasoning,Translation"
235,Multimodal,"Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Translation,Audio question answering,Character recognition (OCR)"
236,Multimodal,"Language generation,Image captioning,Visual question answering,Language modeling/generation,Question answering"
237,Language,"Language modeling/generation,Chat,Mathematical reasoning"
238,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Translation,Visual question answering,Code generation,Instruction interpretation"
239,Language,"Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering"
240,Language,"Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering,Text summarization,Text classification,Translation,Code generation"
241,Language,"Quantitative reasoning,Language modeling/generation,Question answering"
242,Language,"Text summarization,Translation,Language modeling/generation,Question answering"
243,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Translation,Instruction interpretation,Visual question answering"
244,Robotics,Manufacturing Automation
245,Robotics,"Animal (human/non-human) imitation,Robotic manipulation"
246,Vision,"Image classification,Image embedding"
247,Biology,Protein or nucleotide language model (pLM/nLM)
248,Vision,"Image captioning,Visual question answering,Object detection,Image segmentation,Object recognition,Character recognition (OCR)"
249,Vision,"Image captioning,Visual question answering,Object detection,Object recognition,Image segmentation,Character recognition (OCR)"
250,Language,"Language modeling/generation,Question answering,Chat"
251,Multimodal,"Chat,Language modeling/generation,Question answering,Retrieval-augmented generation,Speech synthesis"
252,Language,Language generation
253,Speech,"Speech synthesis,Speech recognition (ASR),Speech-to-text,Text-to-speech (TTS),Audio question answering,Audio generation,Speech-to-speech"
254,Speech,"Speech synthesis,Speech recognition (ASR),Speech-to-text,Text-to-speech (TTS),Audio question answering,Audio generation,Image captioning,Visual question answering,Speech-to-speech"
255,Language,"Chat,Language modeling/generation,Question answering,Code generation,Visual question answering"
256,Language,"Language modeling/generation,Question answering,Chat,Translation"
257,Multimodal,"Language modeling/generation,Code generation,Question answering,Visual question answering,Character recognition (OCR)"
258,Image generation,Text-to-image
259,Language,"Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering,Visual question answering"
260,Language,"Question answering,Chat,Language modeling/generation,Quantitative reasoning,Text summarization"
261,Mathematics,"Mathematical reasoning,Quantitative reasoning,Language modeling/generation,Question answering"
262,Video,"Video generation,Video-to-video,Image-to-video"
263,Video,"Video generation,Image generation,Text-to-video"
264,Mathematics,"Mathematical reasoning,Code generation"
265,Earth science,Unknown
266,Language,"Mathematical reasoning,Language modeling/generation"
267,Image generation,"Image generation,Text-to-image,Visual question answering"
268,Multimodal,"Language modeling/generation,Question answering,Audio question answering,Speech recognition (ASR),Speech-to-text,Visual question answering,Image captioning,Speech synthesis,Text-to-speech (TTS),Video,Video classification"
269,Language,"Question answering,Chat,Language modeling/generation,Search"
270,Vision,"Instruction interpretation,System control"
271,Multimodal,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Visual question answering,Translation,Image captioning,Visual puzzles"
272,Language,3D reconstruction
273,3D modeling,"3D reconstruction,Self-driving car"
274,Mathematics,Mathematical reasoning
275,Biology,"Protein generation,Proteins,Protein or nucleotide language model (pLM/nLM)"
276,Materials science,"Materials design,Crystal discovery"
277,Vision,"Visual question answering,Language modeling/generation,Question answering"
278,Robotics,"Robotic manipulation,Self-driving car,Video generation"
279,Language,"Language modeling/generation,Question answering,Retrieval-augmented generation,Entity embedding,Translation"
280,Language,"Code generation,Chat,Search,Language modeling/generation"
281,3D modeling,"3D reconstruction,3D segmentation"
282,Video,"Video generation,Image-to-video,Text-to-video,Image generation,Text-to-image"
283,Multimodal,Unknown
284,Language,"Translation,Language generation"
285,Language,Chat
286,Video,Video editing
287,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Visual question answering,Search,Instruction interpretation,Visual puzzles"
288,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Visual question answering,Code generation"
289,Language,"Question answering,Chat,Language modeling/generation"
290,Vision,"Language modeling/generation,Visual question answering"
291,Audio,"Language modeling/generation,Speech synthesis,Speech recognition (ASR),Text-to-speech (TTS),Audio generation,Audio question answering,Translation,Speech-to-speech"
292,Speech,"Speech synthesis,Translation"
293,Language,"Chat,Language modeling/generation,Recommender system"
294,Video,Video description
295,Multimodal,"Video,Visual question answering,Video description,Language modeling/generation"
296,Language,"Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Code generation,Quantitative reasoning,Video description,Translation,Chat,Table tasks,Search,Text summarization"
297,Language,"Code generation,Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Video description"
298,Language,"Language modeling/generation,Question answering,Code generation,Mathematical reasoning"
299,Language,"Language modeling/generation,Question answering,Translation,Code generation"
300,Multimodal,"Visual question answering,Language modeling/generation"
301,Multimodal,"Visual question answering,Language modeling/generation,Question answering,Character recognition (OCR)"
302,Vision,"Visual question answering,Video description"
303,Language,"Code generation,Code autocompletion,Retrieval-augmented generation,Entity embedding"
304,Multimodal,"Language modeling/generation,Retrieval-augmented generation,Visual question answering,Image captioning,Video description,Character recognition (OCR),Code generation,Translation"
305,Language,"Language modeling/generation,Retrieval-augmented generation,Question answering,Code generation"
306,Games,Game of 24 (24 puzzle)
307,Biology,RNA structure prediction
308,Language,"Chat,Text summarization,Translation,Language modeling/generation"
309,Language,"Chat,Language generation"
310,Language,"Financial management,Data analytics,Search,Text summarization"
311,Multimodal,"Language modeling/generation,Visual question answering"
312,Multimodal,Audio generation
313,Biology,Drug discovery
314,Language,"Language modeling/generation,Protein question answering,Question answering"
315,Multimodal,"Language modeling/generation,Question answering,Code generation,Visual question answering"
316,Biology,"Protein folding prediction,Protein-ligand contact prediction,Protein interaction prediction,Protein structure comparison"
317,Multimodal,"Vision-language generation,Visual question answering,Mathematical reasoning,Character recognition (OCR),Language modeling/generation,Question answering"
318,Language,"Question answering,Language modeling/generation,Code generation,Quantitative reasoning"
319,Biology,"Protein or nucleotide language model (pLM/nLM),Entity embedding"
320,Language,"Chat,Search,Language modeling/generation,Question answering,Visual question answering"
321,Mathematics,"Mathematical reasoning,Quantitative reasoning"
322,Language,"Visual question answering,Language modeling/generation,Quantitative reasoning"
323,Language,"Language modeling/generation,Code generation,Question answering,Translation,Quantitative reasoning"
324,Language,"Language modeling/generation,Translation,Code generation,Question answering,Retrieval-augmented generation"
325,Language,"Language modeling/generation,Quantitative reasoning,Question answering"
326,Audio,Audio classification
327,Biology,Spatial Transcriptomics
328,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Chat,Text summarization,Code generation"
329,Language,Text classification
330,Biology,Image embedding
331,Language,"Language modeling/generation,Chat,Question answering"
332,Vision,"Data analytics,Miscellaneous image analysis"
333,Language,"Chat,Question answering"
334,Multimodal,"Text-to-image,Text-to-video,Text-to-speech (TTS)"
335,Astronomy,Unknown
336,Language,Code autocompletion
337,Biology,Protein design
338,Language,"Language modeling/generation,Question answering,Text summarization,Text classification"
339,Language,"Language modeling/generation,Translation"
340,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Code generation,Chat,Visual question answering,Character recognition (OCR)"
341,Vision,Object detection
342,Vision,"Language modeling/generation,Vision-language generation,Question answering,Code generation,Translation,Quantitative reasoning"
343,Multimodal,"Video compression,Video,Language modeling/generation,Video description"
344,Language,"Language modeling/generation,Question answering,Translation,Text summarization,Text classification,Code generation"
345,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video,Image generation,Text-to-image,Visual question answering,Language modeling/generation,Question answering"
346,Video,"Video generation,Video editing"
347,Multimodal,"Chat,Language modeling/generation,Question answering,Visual question answering,Image captioning,Face verification,Character recognition (OCR)"
348,Multimodal,"Transcription,Text summarization,Search,Video editing,Video classification,Image completion"
349,Language,"Language modeling/generation,Question answering,Visual question answering"
350,Speech,Speech recognition (ASR)
351,Biology,"Protein folding prediction,Protein-ligand contact prediction"
352,Biology,Small molecule property prediction
353,Biology,Antibody property prediction
354,Biology,Protein-ligand binding affinity prediction
355,Language,"Visual question answering,Language modeling/generation,Video description,Speech synthesis,Image captioning"
356,Biology,Protein function prediction
357,Biology,Protein classification
358,Biology,"Proteins,Protein generation"
359,Language,"Language modeling,Language modeling/generation,Question answering,Code generation,Retrieval-augmented generation"
360,Biology,Enzyme function prediction
361,Biology,"Protein folding prediction,Molecular simulation"
362,Robotics,"Video,Action recognition,Video generation,Instruction interpretation,Robotic manipulation"
363,Multimodal,"Language modeling/generation,Visual question answering,Image captioning,Question answering,Code generation,Video description,Character recognition (OCR)"
364,Biology,"Protein or nucleotide language model (pLM/nLM),Nucleotide generation"
365,Biology,Plasmid Design
366,Language,"Language modeling,Translation,Japanese language modeling,Language modeling/generation,Question answering"
367,Biology,"Protein design,Drug discovery"
368,Biology,Toxin prediction
369,Biology,"Protein design,Protein or nucleotide language model (pLM/nLM)"
370,Biology,Molecular simulation
371,Other,Chip design
372,Language,"Language modeling/generation,Question answering,Chat,Code generation,Translation"
373,Biology,"RNA sequence generation,Protein or nucleotide language model (pLM/nLM)"
374,Biology,Protein generation
375,Biology,Molecular property prediction
376,Biology,Codon design
377,Language,"Language modeling/generation,Visual question answering,Question answering"
378,Biology,"Protein design,Protein property prediction"
379,Multimodal,"Visual question answering,Image captioning,Object detection"
380,Language,"Language modeling/generation,Text summarization,Question answering,Quantitative reasoning,Translation"
381,Biology,"Protein property prediction,Drug discovery"
382,Biology,Bacteriophage screening
383,Biology,Protein embedding
384,Biology,Mutation prediction
385,Biology,Allergenic Protein Prediction
386,Biology,Protein-ligand contact prediction
387,Biology,Protein-DNA binding prediction
388,Biology,"Protein generation,Protein design"
389,Biology,Protein property prediction
390,Biology,"Protein design,Protein generation"
391,Biology,Human physiology
392,Language,"Code generation,Code autocompletion,Quantitative reasoning,Question answering,Language modeling/generation"
393,Multimodal,"Visual question answering,Video compression,Image captioning,Video description,Language modeling/generation"
394,Multimodal,"Visual question answering,Video compression,Image captioning"
395,Language,"Language modeling/generation,Quantitative reasoning,Mathematical reasoning"
396,Biology,Protein interaction prediction
397,Robotics,"Robotic manipulation,Video generation,Animal (human/non-human) imitation"
398,Vision,"Language modeling/generation,Question answering,Visual question answering,Code generation"
399,Biology,RNA sequence generation
400,Biology,"Protein-ligand contact prediction,Drug discovery"
401,Biology,"RNA structure prediction,RNA-Protein interaction prediction,Mean ribosome load prediction"
402,Biology,Immunogenic Neoantigen Prediction
403,Vision,"Image classification,Image segmentation"
404,Biology,Codon optimization
405,Language,"Code generation,Language modeling/generation,Quantitative reasoning,Chat,Question answering,Translation"
